"lsoa11","lsoa_area","surface_flooding_area","surface_flooding_area_pct"
"E01000001",129865.314297091,0,0
"E01000002",228419.634775942,160.428769672129,0.00070234229132489
"E01000003",59054.3518655677,4,6.77342121899105e-05
"E01000005",189577.710648963,9.33025510725565,4.92159920874468e-05
"E01000006",146536.995719449,9526.70689583215,0.0650122984237468
"E01000007",200093.910363329,8565.07895166074,0.0428052954540613
"E01000008",195064.212908346,9912.58792011577,0.0508170503052416
"E01000009",127959.942443714,7989.63139852587,0.0624385354193189
"E01000010",352067.144966291,11636.9521907341,0.0330532182770089
"E01000011",91632.2798939896,3167.47558367158,0.0345672462513872
"E01000012",139052.580591357,15104.1845405606,0.108622108819025
"E01000013",207829.959470356,6670.52401359509,0.0320960656037974
"E01000014",341219.223400936,27868.0793125952,0.0816720671093314
"E01000015",280629.570939132,9816.2539918742,0.0349793999221961
"E01000016",198775.114630923,4127.82860822128,0.0207663248786734
"E01000017",158371.857018552,1986.63649218247,0.012544125765664
"E01000018",173980.619530546,3009.13302638358,0.017295794408039
"E01000019",183076.987113741,3696.39628014813,0.0201903927873341
"E01000020",187237.022926413,4047.27934368212,0.0216158069618142
"E01000021",170152.771497016,4131.77924022787,0.0242827619196337
"E01000022",128262.995550431,4405.41432855588,0.0343467288413964
"E01000023",207293.706646873,12084.0132440816,0.0582941635785736
"E01000024",128635.216430124,5982.38060698212,0.0465065537494689
"E01000025",153352.037673861,5518.3800747174,0.0359850456402381
"E01000027",1474526.72066985,28984.5175566706,0.0196568276114409
"E01000028",143890.821809514,3786.09036911096,0.0263122436962871
"E01000029",256877.141851331,33637.4357812853,0.130947563254784
"E01000030",286265.980058838,12874.291029796,0.0449731785353952
"E01000031",843421.220760141,10265.1976052644,0.0121709026908439
"E01000032",375434.956082432,5914.50644312557,0.0157537446828125
"E01000033",145321.725337545,1365.81261926337,0.00939854392790158
"E01000034",513659.10814207,7691.31366991528,0.0149735759533889
"E01000035",397161.416658105,17726.5934588148,0.044633221444254
"E01000036",418688.296724078,13524.0277282537,0.0323009451997323
"E01000037",233433.350502559,20751.2659852529,0.0888958922989256
"E01000038",214045.771773717,6109.70878613832,0.0285439358858129
"E01000039",1531807.86635156,109393.292840686,0.071414499979843
"E01000040",170708.136818629,7491.62239522392,0.043885561255838
"E01000041",152635.389527223,4393.06063778352,0.0287814028672557
"E01000042",231229.8366966,5243.87400470427,0.0226781892839584
"E01000043",266364.931616014,20283.1372980022,0.0761479267369999
"E01000044",170628.749142137,9931.15112440703,0.0582032698143628
"E01000045",298245.593432577,7829.56757918962,0.0262520813436918
"E01000046",155494.033603628,2282.41033766896,0.0146784431837886
"E01000048",64692.5012790953,250.231365570951,0.00386801191209793
"E01000049",212167.134766382,10436.3133688169,0.0491891139516418
"E01000050",137654.727048097,3391.17522602854,0.0246353706752378
"E01000051",66632.49489932,148,0.00222113850342275
"E01000052",199636.412016761,6845.67495656082,0.0342907132391564
"E01000053",180905.184291798,7278.55128705379,0.040234066898346
"E01000054",171139.943153479,1378.0694103664,0.00805229559490118
"E01000055",146059.174203445,1958.97801267186,0.0134122216105591
"E01000056",243571.594574578,6296.29202021707,0.0258498616442289
"E01000057",147679.388614734,2425.53813391074,0.0164243511343244
"E01000058",182188.00324321,2215.73820749382,0.0121618227767497
"E01000059",208415.816670393,13060.5529702705,0.0626658435953813
"E01000060",550065.953679467,10569.6027087418,0.0192151552700913
"E01000061",610455.521152356,9615.6298059766,0.015751564975324
"E01000062",221342.866711748,4290.57998973547,0.0193843156252378
"E01000063",181220.799356526,1454.45591677944,0.00802587739345531
"E01000064",208816.832481047,23248.745943408,0.111335593338809
"E01000065",233555.7794677,7761.73010372128,0.0332328753388639
"E01000066",244939.873461577,9404.93188965316,0.0383969002544965
"E01000067",192455.990892953,3754.83793657675,0.0195101119957614
"E01000068",339811.128369857,6078.93046271978,0.0178891447489717
"E01000069",200593.268206903,14359.9531362577,0.0715874130005502
"E01000070",391783.85607373,9412.56221294751,0.0240248853214007
"E01000071",270535.479224046,29646.6000032621,0.109584887306814
"E01000072",520104.226286864,25748.8166473457,0.0495070321407923
"E01000073",284641.852977018,11088.7691463988,0.0389569173697519
"E01000074",164129.147318932,6531.61826267828,0.0397956022399006
"E01000075",517518.667168599,10269.9289523662,0.0198445575085323
"E01000076",190555.35637581,4751.53684190972,0.0249352048259342
"E01000077",173824.585990335,3659.42295230155,0.0210523898644868
"E01000078",175836.458222157,1962.11716468689,0.0111587618661421
"E01000079",309703.52495465,14704.6634570684,0.0474798065641056
"E01000080",231312.730253455,7906.865767365,0.0341825793967381
"E01000081",185772.257149897,9142.20003510844,0.0492118692821379
"E01000082",160706.019181215,8715.30669010794,0.054231364416291
"E01000083",179942.98366354,7470.06432287095,0.0415135070608731
"E01000084",150026.443552168,4011.69238599267,0.0267399019200085
"E01000085",145378.819962307,4458.34155789041,0.0306670638752354
"E01000086",140150.772350371,2067.61780824247,0.0147528106593199
"E01000087",372531.869840323,18760.8919459734,0.0503605019189761
"E01000088",226443.862954836,14069.7424417384,0.0621334676866228
"E01000089",145368.850638331,16456.524462838,0.113205300795703
"E01000090",1955043.39551075,178573.056133686,0.0913396892077854
"E01000091",246299.614907591,13573.2148932799,0.0551085510156906
"E01000092",2644825.59060005,188971.756943409,0.0714496099913097
"E01000093",293778.415862128,13508.780451129,0.0459828895580565
"E01000094",602911.6606208,42418.5982582842,0.0703562412685915
"E01000095",2294752.84894403,180799.339541307,0.078788153427723
"E01000096",602407.590230247,38755.9622010217,0.064335116007102
