"lsoa11","lsoa_area","surface_flooding_area_1_in_100","surface_flooding_area_1_in_100_pct"
"E01000001",129865.314297091,0,0
"E01000002",228419.634775942,89.2003252330469,0.000390510760252918
"E01000003",59054.3518655677,30.3301529526943,0.000513597253962559
"E01000005",189577.710648963,111.298434852687,0.000587086079221496
"E01000006",146536.995719449,23829.7223991753,0.162619154856963
"E01000007",200093.910363329,17558.5654394353,0.0877516232630602
"E01000008",195064.212908346,26549.6706919166,0.136107337661119
"E01000009",127959.942443714,18094.6653076193,0.141408826559754
"E01000010",352067.144966291,27103.2500530993,0.0769831847152175
"E01000011",91632.2798939896,15238.0830294513,0.166296015411604
"E01000012",139052.580591357,36181.7646125235,0.260202036227241
"E01000013",207829.959470356,28085.8526757607,0.135138614025312
"E01000014",341219.223400936,70405.3169508657,0.206334555975877
"E01000015",280629.570939132,37746.2042030982,0.134505441022412
"E01000016",198775.114630923,16198.7567875851,0.0814928811268066
"E01000017",158371.857018552,13391.8253706237,0.0845593757800976
"E01000018",173980.619530546,10892.4686650818,0.0626073679612885
"E01000019",183076.987113741,21709.1647376387,0.118579429779185
"E01000020",187237.022926413,15695.5085295575,0.0838269498427463
"E01000021",170152.771497016,17979.0526578145,0.105664177548409
"E01000022",128262.995550431,14799.7416956023,0.115385904033274
"E01000023",207293.706646873,28809.3960801526,0.138978633486591
"E01000024",128635.216430124,19615.3254942273,0.152487989203816
"E01000025",153352.037673861,21318.6684015374,0.139017835856062
"E01000027",1474526.72066985,68135.8187718481,0.0462086022699509
"E01000028",143890.821809514,14976.0252671803,0.104079086343714
"E01000029",256877.141851331,65076.7360750668,0.253337979417142
"E01000030",286265.980058838,31302.4015120912,0.109347263358564
"E01000031",843421.220760141,34674.4132814977,0.0411116206564581
"E01000032",375434.956082432,17847.8540469592,0.0475391376263868
"E01000033",145321.725337545,8524.35502250781,0.0586585041067184
"E01000034",513659.10814207,38024.6342198811,0.0740269832991339
"E01000035",397161.416658105,48251.1151717381,0.121489936202124
"E01000036",418688.296724078,43658.9854686617,0.104275628935083
"E01000037",233433.350502559,48914.5166762,0.209543822983699
"E01000038",214045.771773717,16543.7299593004,0.0772906179001283
"E01000039",1531807.86635156,208502.917124812,0.136115580618751
"E01000040",170708.136818629,20133.2068975424,0.117939351180039
"E01000041",152635.389527223,15223.8392782274,0.0997399051778364
"E01000042",231229.8366966,12752.808584435,0.0551520892226733
"E01000043",266364.931616014,32115.0241946233,0.120567763931176
"E01000044",170628.749142137,24266.9043717733,0.142220490355693
"E01000045",298245.593432577,18097.9627235814,0.0606814086179372
"E01000046",155494.033603628,9909.88286164695,0.0637315955601769
"E01000048",64692.5012790953,5941.49649255443,0.0918421204170438
"E01000049",212167.134766382,31044.1332677374,0.146319236963445
"E01000050",137654.727048097,10608.2604740028,0.0770642658010302
"E01000051",66632.49489932,1401.95471383194,0.0210401053712645
"E01000052",199636.412016761,23573.5905670213,0.11808261994331
"E01000053",180905.184291798,11482.4809036094,0.0634723706153623
"E01000054",171139.943153479,10370.8773842441,0.0605988128378857
"E01000055",146059.174203445,7546.18317153895,0.0516652460394438
"E01000056",243571.594574578,16188.1649460913,0.0664616289693612
"E01000057",147679.388614734,9167.13288806187,0.0620745587725655
"E01000058",182188.00324321,6975.79208467487,0.0382889760055309
"E01000059",208415.816670393,18644.3407854159,0.0894574177875458
"E01000060",550065.953679467,43820.8801443226,0.0796647744714951
"E01000061",610455.521152356,65653.3052828004,0.107548057160441
"E01000062",221342.866711748,16893.0964260003,0.0763209435070701
"E01000063",181220.799356526,6328.89799372182,0.0349236843463571
"E01000064",208816.832481047,63704.962998537,0.305075803715772
"E01000065",233555.7794677,24654.1582028965,0.105560043339908
"E01000066",244939.873461577,28292.2742228861,0.115507017387777
"E01000067",192455.990892953,15485.0412335367,0.0804601673436588
"E01000068",339811.128369857,36895.2294451452,0.10857569504018
"E01000069",200593.268206903,30152.4957085343,0.150316588278692
"E01000070",391783.85607373,46502.9550014278,0.118695434435349
"E01000071",270535.479224046,58362.0672122011,0.215727960634206
"E01000072",520104.226286864,111243.866607519,0.213887642101494
"E01000073",284641.852977018,31134.4527492871,0.10938114835769
"E01000074",164129.147318932,16549.1248436448,0.10082989593242
"E01000075",517518.667168599,44089.4127590215,0.0851938597698117
"E01000076",190555.35637581,14995.7613101347,0.0786950395692906
"E01000077",173824.585990335,22826.256384925,0.131317766441821
"E01000078",175836.458222157,13943.9664321949,0.0793007694375742
"E01000079",309703.52495465,43458.5065615498,0.140322931642168
"E01000080",231312.730253455,28647.4712386394,0.123847361134208
"E01000081",185772.257149897,23388.322130671,0.125897819671746
"E01000082",160706.019181215,18983.546363395,0.11812591998803
"E01000083",179942.98366354,27957.7280242085,0.155369925823194
"E01000084",150026.443552168,9983.19452504713,0.0665428992961212
"E01000085",145378.819962307,13064.9108487633,0.089868048537956
"E01000086",140150.772350371,5957.39316905021,0.0425070306009944
"E01000087",372531.869840323,44367.7682722155,0.119097913129507
"E01000088",226443.862954836,28425.1747319165,0.125528571898572
"E01000089",145368.850638331,29519.2624060762,0.203064564908188
"E01000090",1955043.39551075,342449.605941879,0.175162150737024
"E01000091",246299.614907591,29230.3518530453,0.11867802499006
"E01000092",2644825.59060005,342111.010846809,0.129351066498563
"E01000093",293778.415862128,37680.5451379474,0.128261788829412
"E01000094",602911.6606208,72068.0119793805,0.11953328602929
"E01000095",2294752.84894403,324102.470063434,0.141236329747918
"E01000096",602407.590230247,79458.8760120371,0.13190218267613
"E01000097",179124.283441628,7880.87840403751,0.0439967058213282
