"LSOA21CD","LSOA11CD","postcode_count","postcode_pct"
"E01000182","E01000182",33,1
"E01000183","E01000180",1,0.03125
"E01000183","E01000183",31,0.96875
"E01000184","E01000184",26,1
"E01000185","E01000185",38,1
"E01000186","E01000186",28,1
"E01000187","E01000187",36,1
"E01000188","E01000188",43,1
"E01000189","E01000189",36,1
"E01000190","E01000190",34,1
"E01000191","E01000191",32,1
"E01000192","E01000192",60,1
"E01000193","E01000192",1,0.00909090909090909
"E01000193","E01000193",109,0.990909090909091
"E01000194","E01000125",1,0.024390243902439
"E01000194","E01000193",1,0.024390243902439
"E01000194","E01000194",39,0.951219512195122
"E01000195","E01000195",31,1
"E01000196","E01000196",64,0.984615384615385
"E01000196","E01000202",1,0.0153846153846154
"E01000197","E01000197",30,1
"E01000198","E01000198",46,1
"E01000199","E01000199",43,1
"E01000200","E01000200",60,1
"E01000201","E01000201",35,1
"E01000202","E01000202",34,1
"E01000203","E01000203",46,1
"E01000204","E01000204",85,1
"E01000205","E01000205",43,1
"E01000206","E01000206",66,1
"E01000207","E01000207",68,1
"E01000208","E01000208",42,1
"E01000209","E01000209",54,1
"E01000210","E01000207",1,0.032258064516129
"E01000210","E01000210",30,0.967741935483871
"E01000211","E01000211",103,1
"E01000212","E01000212",49,1
"E01000213","E01000213",41,1
"E01000214","E01000214",33,1
"E01000215","E01000215",41,1
"E01000216","E01000216",40,1
"E01000217","E01000217",35,1
"E01000218","E01000218",30,1
"E01000219","E01000219",36,1
"E01000220","E01000220",31,1
"E01000221","E01000221",33,1
"E01000222","E01000222",36,1
"E01000223","E01000223",33,1
"E01000224","E01000224",25,1
"E01000225","E01000225",27,1
"E01000226","E01000226",37,1
"E01000227","E01000227",39,1
"E01000228","E01000228",43,0.977272727272727
"E01000228","E01000261",1,0.0227272727272727
"E01000229","E01000229",21,1
"E01000230","E01000230",41,1
"E01000231","E01000231",32,1
"E01000232","E01000232",48,1
"E01000233","E01000227",1,0.0238095238095238
"E01000233","E01000233",41,0.976190476190476
"E01000234","E01000234",48,1
"E01000235","E01000235",41,1
"E01000236","E01000236",35,1
"E01000237","E01000237",53,1
"E01000238","E01000238",32,1
"E01000239","E01000239",36,1
"E01000240","E01000240",34,1
"E01000241","E01000241",34,1
"E01000242","E01000242",37,1
"E01000243","E01000243",51,1
"E01000244","E01000244",35,1
"E01000245","E01000238",1,0.0119047619047619
"E01000245","E01000243",1,0.0119047619047619
"E01000245","E01000245",82,0.976190476190476
"E01000246","E01000246",46,0.978723404255319
"E01000246","E01000252",1,0.0212765957446809
"E01000247","E01000247",30,1
"E01000248","E01000248",44,1
"E01000249","E01000249",39,1
"E01000250","E01000250",88,0.98876404494382
"E01000250","E01000293",1,0.0112359550561798
"E01000251","E01000251",59,0.983333333333333
"E01000251","E01000252",1,0.0166666666666667
"E01000252","E01000252",53,1
"E01000253","E01000253",75,0.986842105263158
"E01000253","E01023584",1,0.0131578947368421
"E01000254","E01000254",49,1
"E01000255","E01000255",59,0.983333333333333
"E01000255","E01000262",1,0.0166666666666667
"E01000256","E01000256",46,1
"E01000257","E01000257",76,1
"E01000258","E01000258",94,1
"E01000259","E01000198",1,0.0172413793103448
"E01000259","E01000257",1,0.0172413793103448
"E01000259","E01000259",56,0.96551724137931
"E01000260","E01000260",45,1
"E01000261","E01000261",60,1
"E01000263","E01000263",32,1
"E01000264","E01000263",1,0.0175438596491228
"E01000264","E01000264",56,0.982456140350877
"E01000265","E01000265",39,0.951219512195122
"E01000265","E01000274",2,0.0487804878048781
"E01000266","E01000266",34,1
"E01000267","E01000267",82,1
"E01000268","E01000268",60,0.983606557377049
"E01000268","E01000269",1,0.0163934426229508
"E01000269","E01000269",31,1
"E01000270","E01000268",1,0.025
"E01000270","E01000270",39,0.975
"E01000271","E01000271",42,1
"E01000272","E01000272",35,1
"E01000273","E01000273",49,1
"E01000274","E01000274",42,1
"E01000275","E01000275",37,1
"E01000276","E01000276",26,1
"E01000277","E01000277",75,1
"E01000278","E01000278",29,1
"E01000279","E01000279",61,1
"E01000280","E01000280",34,1
"E01000281","E01000281",81,1
"E01000282","E01000282",38,1
"E01000283","E01000283",30,1
"E01000284","E01000284",58,1
"E01000285","E01000285",29,1
"E01000286","E01000286",34,1
"E01000287","E01000287",34,1
"E01000288","E01000288",27,1
"E01000289","E01000288",1,0.0344827586206897
"E01000289","E01000289",28,0.96551724137931
"E01000290","E01000290",45,1
"E01000291","E01000291",26,1
"E01000292","E01000291",1,0.0217391304347826
"E01000292","E01000292",45,0.978260869565217
"E01000293","E01000293",33,1
"E01000294","E01000294",34,1
"E01000295","E01000295",30,0.967741935483871
"E01000295","E01000298",1,0.032258064516129
"E01000296","E01000296",50,1
"E01000297","E01000297",27,1
"E01000298","E01000296",1,0.0188679245283019
"E01000298","E01000298",52,0.981132075471698
"E01000299","E01000299",51,0.980769230769231
"E01000299","E01000300",1,0.0192307692307692
"E01000300","E01000300",28,0.96551724137931
"E01000300","E01000302",1,0.0344827586206897
"E01000301","E01000301",30,1
"E01000302","E01000302",47,1
"E01000303","E01000303",30,1
"E01000304","E01000304",25,1
"E01000305","E01000305",53,0.981481481481482
"E01000305","E01000308",1,0.0185185185185185
"E01000306","E01000306",22,1
"E01000307","E01000307",39,1
"E01000308","E01000308",64,0.984615384615385
"E01000308","E01000312",1,0.0153846153846154
"E01000309","E01000309",44,1
"E01000310","E01000310",55,1
"E01000311","E01000311",33,1
"E01000312","E01000312",38,1
"E01000313","E01000313",43,1
"E01000314","E01000314",47,1
"E01000315","E01000315",42,1
"E01000316","E01000316",33,1
"E01000317","E01000317",40,1
"E01000318","E01000318",26,1
"E01000319","E01000319",19,1
"E01000320","E01000320",45,1
"E01000321","E01000321",46,0.978723404255319
"E01000321","E01000323",1,0.0212765957446809
"E01000322","E01000322",39,1
"E01000323","E01000322",1,0.0188679245283019
"E01000323","E01000323",52,0.981132075471698
"E01000324","E01000324",39,1
"E01000325","E01000325",29,1
"E01000326","E01000326",19,1
"E01000327","E01000327",35,1
"E01000328","E01000328",27,1
"E01000329","E01000329",30,1
"E01000330","E01000330",36,1
"E01000331","E01000331",22,1
"E01000332","E01000332",26,1
"E01000333","E01000333",45,1
"E01000334","E01000334",29,1
"E01000335","E01000335",40,0.975609756097561
"E01000335","E01000336",1,0.024390243902439
"E01000336","E01000336",37,1
"E01000337","E01000337",27,1
"E01000338","E01000336",1,0.0285714285714286
"E01000338","E01000338",34,0.971428571428571
"E01000339","E01000339",25,1
"E01000340","E01000340",22,1
"E01000341","E01000341",28,1
"E01000342","E01000342",16,1
"E01000343","E01000343",23,1
"E01000344","E01000344",21,1
"E01000345","E01000345",16,1
"E01000346","E01000346",24,1
"E01000347","E01000347",22,1
"E01000348","E01000348",20,1
"E01000349","E01000349",32,1
"E01000350","E01000350",23,1
"E01000351","E01000351",22,1
"E01000352","E01000352",34,1
"E01000353","E01000353",30,1
"E01000354","E01000354",25,1
"E01000355","E01000355",21,0.954545454545455
"E01000355","E01000441",1,0.0454545454545455
"E01000356","E01000356",32,1
"E01000357","E01000357",17,1
"E01000358","E01000358",27,1
"E01000359","E01000359",22,1
"E01000360","E01000360",58,0.966666666666667
"E01000360","E01000361",1,0.0166666666666667
"E01000360","E01000362",1,0.0166666666666667
"E01000361","E01000361",24,0.96
"E01000361","E01000389",1,0.04
"E01000362","E01000362",83,1
"E01000363","E01000363",33,1
"E01000364","E01000364",35,1
"E01000365","E01000365",36,1
"E01000366","E01000366",70,1
"E01000367","E01000367",35,1
"E01000368","E01000368",22,1
"E01000369","E01000369",27,1
"E01000370","E01000370",34,1
"E01000371","E01000371",19,1
"E01000372","E01000372",32,1
"E01000373","E01000373",14,1
"E01000374","E01000374",30,1
"E01000375","E01000375",43,1
"E01000376","E01000376",27,1
"E01000377","E01000377",25,0.961538461538462
"E01000377","E01000378",1,0.0384615384615385
"E01000379","E01000375",1,0.037037037037037
"E01000379","E01000378",1,0.037037037037037
"E01000379","E01000379",25,0.925925925925926
"E01000380","E01000380",36,1
"E01000381","E01000381",35,1
"E01000382","E01000382",22,1
"E01000383","E01000383",31,0.96875
"E01000383","E01000728",1,0.03125
"E01000384","E01000384",27,1
"E01000385","E01000385",42,1
"E01000386","E01000386",39,1
"E01000387","E01000387",20,1
"E01000388","E01000388",32,1
"E01000389","E01000389",30,1
"E01000390","E01000390",27,1
"E01000391","E01000391",18,1
"E01000392","E01000392",35,1
"E01000393","E01000393",27,1
"E01000394","E01000366",1,0.0285714285714286
"E01000394","E01000394",34,0.971428571428571
"E01000395","E01000395",24,1
"E01000396","E01000396",16,1
"E01000398","E01000398",20,1
"E01000399","E01000399",25,1
"E01000400","E01000400",35,1
"E01000401","E01000401",29,1
"E01000402","E01000402",26,1
"E01000403","E01000403",56,1
"E01000404","E01000404",30,1
"E01000405","E01000405",30,1
"E01000406","E01000406",30,1
"E01000407","E01000407",38,1
"E01000408","E01000408",34,1
"E01000409","E01000409",21,1
"E01000410","E01000410",23,1
"E01000411","E01000411",17,1
"E01000412","E01000412",22,1
"E01000413","E01000413",23,1
"E01000414","E01000414",41,1
"E01000415","E01000415",16,1
"E01000416","E01000416",19,1
"E01000417","E01000417",41,1
"E01000418","E01000418",27,1
"E01000419","E01000419",26,0.962962962962963
"E01000419","E01000421",1,0.037037037037037
"E01000420","E01000420",26,1
"E01000421","E01000421",25,1
"E01000422","E01000422",13,1
"E01000423","E01000423",26,1
"E01000424","E01000424",40,1
"E01000425","E01000425",23,1
"E01000426","E01000426",32,1
"E01000427","E01000427",36,1
"E01000428","E01000428",62,1
"E01000429","E01000429",25,1
"E01000430","E01000430",59,1
