"lsoa11","all_gs_access_pct","all_with_row__gs_access_pct","doorstep_gs_access_pct","local_gs_access_pct","neighbourhood_gs_access_pct","combined_std__gs_access_pct","partialcombined_std_gs_access_pct"
"E01000001",0.992523364485981,0.992523364485981,0,0,0,0,0
"E01000002",1,1,0,0,0,0,0.243589743589744
"E01000003",1,1,0,0,0,0,0
"E01000005",0,0,0,0,0,0,0
"E01000006",1,1,0.0226876090750436,0.0959860383944154,1,0.0575916230366492,0.1239092495637
"E01000007",1,1,0.0285087719298246,0.202485380116959,1,0.0650584795321637,0.20906432748538
"E01000008",1,1,0,0.0276243093922652,1,0,0.0276243093922652
"E01000009",1,1,0.104011887072808,0.24665676077266,1,0.136701337295691,0.291233283803863
"E01000010",1,1,0.173939393939394,0.464242424242424,1,0.181818181818182,0.573939393939394
"E01000011",1,1,0.562992125984252,0.937007874015748,1,0.627952755905512,0.968503937007874
"E01000012",1,1,0.12603062426384,0.24263839811543,1,0.13545347467609,0.261484098939929
"E01000013",1,1,0,0.0149700598802395,0.832335329341317,0,0.0404191616766467
"E01000014",1,1,0.212209302325581,0.267441860465116,1,0.241279069767442,0.316860465116279
"E01000015",1,1,0.204362801377727,0,0.856486796785304,0,0.308840413318025
"E01000016",1,1,0,0,0.170769230769231,0,0.0307692307692308
"E01000017",0.873194221508828,0.873194221508828,0,0,0.746388443017656,0,0
"E01000018",1,1,0.0758293838862559,0,0.352290679304897,0,0.104265402843602
"E01000019",1,1,0.321772639691715,0.499036608863198,1,0.366088631984586,0.63776493256262
"E01000020",0.99406528189911,0.99406528189911,0,0,0.99406528189911,0,0
"E01000021",1,1,0.148867313915858,0.344660194174757,1,0.189320388349515,0.519417475728155
"E01000022",0.997971602434077,0.997971602434077,0,0,0.997971602434077,0,0
"E01000023",1,1,0.68037761294673,0.923128792987188,1,0.784895482130816,0.970330411328388
"E01000024",1,1,0,0,1,0,0
"E01000025",1,1,0.0635658914728682,0.167441860465116,1,0.0744186046511628,0.187596899224806
"E01000027",0.820143884892086,0.820143884892086,0.263309352517986,0,0.0964028776978417,0,0.282014388489209
"E01000028",0.106990014265335,0.106990014265335,0.216833095577746,0,0.0599144079885877,0,0.275320970042796
"E01000029",0.975,0.975,0.116666666666667,0.215277777777778,0.975,0.133333333333333,0.315277777777778
"E01000030",0.93475935828877,0.93475935828877,0.165775401069519,0,0.578609625668449,0,0.180748663101604
"E01000031",1,1,0,0.0159744408945687,0.987220447284345,0,0.0479233226837061
"E01000032",1,1,0.274535809018568,0.490716180371353,1,0.322281167108753,0.529177718832891
"E01000033",1,1,0.515845070422535,0.642605633802817,1,0.582746478873239,0.72887323943662
"E01000034",1,1,0.220183486238532,0.56697247706422,1,0.297247706422018,0.680733944954128
"E01000035",1,1,0,0.0125786163522013,1,0,0.0141509433962264
"E01000036",1,1,0.225352112676056,0.0543259557344064,1,0.0241448692152917,0.400402414486922
"E01000037",1,1,0.0341614906832298,0.0869565217391304,1,0.0326086956521739,0.177018633540373
"E01000038",1,1,0.150170648464164,0.329351535836177,1,0.199658703071672,0.322525597269625
"E01000039",1,1,0.170623145400593,0.316023738872404,1,0.229970326409496,0.405044510385757
"E01000040",1,1,0,0,0.979259259259259,0,0
"E01000041",1,1,0,0.0419354838709677,1,0,0.0903225806451613
"E01000042",1,1,0,0.061038961038961,0.988311688311688,0,0.0636363636363636
"E01000043",1,1,0,0,0.995867768595041,0,0
"E01000044",1,1,0,0,1,0,0
"E01000045",1,1,0.0459770114942529,0.110016420361248,1,0.0591133004926108,0.119868637110016
"E01000046",1,1,0.31981981981982,0.46996996996997,1,0.396396396396396,0.519519519519519
"E01000048",1,1,0.0669144981412639,0.301115241635688,1,0.0855018587360595,0.315985130111524
"E01000049",1,1,0.253164556962025,0.444620253164557,1,0.259493670886076,0.454113924050633
"E01000050",1,1,0.0434782608695652,0.18561872909699,1,0.0702341137123746,0.25752508361204
"E01000051",1,1,0,0.0696378830083565,1,0.0222841225626741,0.0807799442896936
"E01000052",1,1,0.357920193470375,0.655380894800484,1,0.446191051995163,0.64328899637243
"E01000053",1,1,0.300150829562594,0.574660633484163,1,0.313725490196078,0.622926093514329
"E01000054",1,1,0.40273556231003,0.644376899696049,1,0.458966565349544,0.708206686930091
"E01000055",1,1,0.10051993067591,0.266897746967071,1,0.103986135181976,0.317157712305026
"E01000056",1,1,0.363047001620746,0.729335494327391,1,0.542949756888169,0.858995137763371
"E01000057",1,1,0.035650623885918,0.10873440285205,1,0.0552584670231729,0.156862745098039
"E01000058",1,1,0.1506456241033,0.526542324246772,1,0.212338593974175,0.576757532281205
"E01000059",1,1,0.603678929765886,0.941471571906355,1,0.841137123745819,0.95819397993311
"E01000060",1,1,0.0167310167310167,0.0501930501930502,1,0.0244530244530245,0.0720720720720721
"E01000061",1,1,0.147702407002188,0.551422319474836,1,0.324945295404814,0.62582056892779
"E01000062",0.795285359801489,0.795285359801489,0,0,0.624069478908189,0,0
"E01000063",1,1,0,0.0412213740458015,1,0,0.0778625954198473
"E01000064",0.997521685254027,0.997521685254027,0.0644361833952912,0.0966542750929368,0.855018587360595,0.0706319702602231,0.102850061957869
"E01000065",0.95079950799508,0.95079950799508,0,0,0.939729397293973,0,0
"E01000066",1,1,0.107449856733524,0.286532951289398,1,0.249283667621777,0.474212034383954
"E01000067",1,1,0,0.00863309352517986,1,0,0.0129496402877698
"E01000068",1,1,0.170168067226891,0.369747899159664,1,0.220588235294118,0.32563025210084
"E01000069",1,1,0.00769230769230769,0.0480769230769231,1,0.0615384615384615,0.0730769230769231
"E01000070",1,1,0.240770465489567,0.423756019261637,1,0.282504012841092,0.512038523274478
