"lsoa11","all_gs_access_pct","all_with_row_gs_access_pct","doorstep_gs_access_pct","local_gs_access_pct","neighbourhood_gs_access_pct","combined_std_gs_access_pct","partialcombined_std_gs_access_pct"
"E01023590",1,1,0.352657004830918,0.38768115942029,0.958937198067633,0.201690821256039,0.631642512077295
"E01023591",1,1,0.131195335276968,0.170553935860058,0.86734693877551,0.15597667638484,0.180758017492711
"E01023592",0.962328767123288,0.98458904109589,0.176369863013699,0,0.63527397260274,0,0.179794520547945
"E01023593",1,1,0.382636655948553,0.358520900321543,1,0.281350482315113,0.533762057877814
"E01023594",0.963606286186931,1,0.238213399503722,0.167907361455749,0.714640198511166,0.130686517783292,0.318444995864351
"E01023595",0.0813008130081301,1,0.112466124661247,0.0311653116531165,0.0813008130081301,0.0176151761517615,0.146341463414634
"E01023596",0.00183823529411765,1,0.00183823529411765,0,0.00183823529411765,0,0.00367647058823529
"E01023597",0.24954128440367,0.937614678899083,0.0935779816513762,0,0,0,0.121100917431193
"E01023598",0.839009287925697,0.992260061919505,0.321981424148607,0.154798761609907,0.0263157894736842,0.00464396284829721,0.352941176470588
"E01023600",0.681135225375626,0.994991652754591,0.01669449081803,0,0.0601001669449082,0,0.0350584307178631
"E01023601",1,1,0.506893755068938,0,0.345498783454988,0,0.663422546634226
"E01023602",1,1,0.443537414965986,0,0.131972789115646,0,0.508843537414966
"E01023603",1,1,0.334394904458599,0.164012738853503,0.248407643312102,0.00318471337579618,0.351910828025478
"E01023604",1,1,0.135416666666667,0,0.116319444444444,0,0.164930555555556
"E01023605",0.995983935742972,1,0.15528781793842,0.133868808567604,0.0174029451137885,0.0374832663989291,0.203480589022758
"E01023606",0.99880810488677,0.99880810488677,0.196662693682956,0,0,0,0.240762812872467
"E01023607",0.963515754560531,0.990049751243781,0.021558872305141,0,0.0696517412935323,0,0.021558872305141
"E01023608",0.937096774193548,0.946774193548387,0,0,0,0,0
"E01023609",1,1,0.208899876390606,0,0.259579728059332,0,0.252163164400494
"E01023610",1,1,0.165399239543726,0,0.479087452471483,0,0.173003802281369
