"LSOA11CD","tasmax_avg"
"E01000001",23.9625221020641
"E01000002",23.9598154075302
"E01000003",23.950125617064
"E01000005",23.9592864679119
"E01000006",23.83
"E01000007",23.8361941937349
"E01000008",23.8500025315614
"E01000009",23.83
"E01000010",23.838506265848
"E01000011",23.83
"E01000012",23.8444055103139
"E01000013",23.8366683481168
"E01000014",23.8320339926151
"E01000015",23.836949463046
"E01000016",23.8278660102572
"E01000017",23.8207093098096
"E01000018",23.8288880206565
"E01000019",23.79
"E01000020",23.7924561195953
"E01000021",23.7951034628657
"E01000022",23.7935601480394
"E01000023",23.8090966798518
"E01000024",23.8099927033015
"E01000025",23.81
"E01000027",23.6988815839974
"E01000028",23.72
"E01000029",23.7258866730968
"E01000030",23.6996576480789
"E01000031",23.7079438018435
"E01000032",23.7401343195517
"E01000033",23.80557663746
"E01000034",23.8203162786294
"E01000035",23.8297239972435
"E01000036",23.8313007263392
"E01000037",23.8297109355051
"E01000038",23.8102133616342
"E01000039",23.8388253553677
"E01000040",23.8335874793855
"E01000041",23.8307839257101
"E01000042",23.8321338231693
"E01000043",23.8496167710924
"E01000044",23.839019096173
"E01000045",23.8500563088935
"E01000046",23.8418193150179
"E01000048",23.85
"E01000049",23.85
"E01000050",23.8469440965587
"E01000051",23.85
"E01000052",23.85
"E01000053",23.8690410376836
"E01000054",23.8436764633778
"E01000055",23.8493375389564
"E01000056",23.8598571557762
"E01000057",23.840396785169
"E01000058",23.84
"E01000059",23.8463465692609
"E01000060",23.802377752196
"E01000061",23.7983729944023
"E01000062",23.8054321437485
"E01000063",23.7903393628546
"E01000064",23.8116053756289
"E01000065",23.8076146242952
"E01000066",23.8136141610502
"E01000067",23.8104581360436
"E01000068",23.8244455318245
"E01000069",23.8274014779797
"E01000070",23.8133300549004
"E01000071",23.83
"E01000072",23.826999118556
"E01000073",23.8127705362218
"E01000074",23.8124899747789
"E01000075",23.8305354330091
"E01000076",23.8352488173011
"E01000077",23.81
"E01000078",23.8026446248624
"E01000079",23.8181752305357
"E01000080",23.8116156296016
"E01000081",23.8198360782815
"E01000082",23.7920694899258
"E01000083",23.7981579339274
"E01000084",23.8400002007425
"E01000085",23.8497431322134
"E01000086",23.8408616132592
"E01000087",23.8805224443672
"E01000088",23.8699525287396
"E01000089",23.8826850947248
"E01000090",23.9088052623773
"E01000091",23.86686485527
"E01000092",23.8775827137459
"E01000093",23.8514588490275
"E01000094",23.8786732121398
"E01000095",23.8811117095151
"E01000096",23.8629112054693
"E01000097",23.7726688416567
"E01000098",23.7846978338666
"E01000099",23.7772058512591
"E01000100",23.79
"E01000101",23.79
"E01000102",23.79
"E01000103",23.8764149185541
"E01000104",23.8692086275125
"E01000105",23.8496127962572
"E01000106",23.850056733986
"E01000107",23.861188135654
"E01000108",23.8549638289826
"E01000109",23.7720220831735
"E01000110",23.742627985805
"E01000111",23.7646418986898
"E01000112",23.761960723921
"E01000113",23.7665265943342
"E01000114",23.7768788943187
"E01000115",23.6821160609815
"E01000116",23.6895833736011
"E01000117",23.6593481095375
"E01000118",23.6592334432543
"E01000119",23.6776603889989
"E01000120",23.6922625873261
"E01000121",23.7027301039685
"E01000122",23.7313252942468
"E01000123",23.7239398853458
"E01000124",23.7396984944183
"E01000125",23.7095423294217
"E01000126",23.7639595138893
"E01000127",23.7047737725356
"E01000128",23.75
"E01000129",23.7450798217259
"E01000130",23.7263005444211
"E01000131",23.7520737746872
"E01000132",23.7
"E01000133",23.6937762665858
"E01000134",23.7024512064525
"E01000135",23.7402576638549
"E01000136",23.5926839522817
"E01000137",23.74
"E01000138",23.7405916746101
"E01000139",23.74
"E01000140",23.651109806237
"E01000141",23.7923798020926
"E01000142",23.7618783460622
"E01000143",23.7485613495617
"E01000144",23.7474883300834
"E01000145",23.7500948405728
"E01000146",23.7194311750559
"E01000147",23.7969917966692
"E01000148",23.751871347785
"E01000150",23.7929936607995
"E01000151",23.77
"E01000152",23.7245497866075
"E01000153",23.7338517914692
"E01000154",23.77
"E01000155",23.7691254241372
"E01000156",23.6558995085872
"E01000157",23.72044553965
"E01000158",23.7016803088099
"E01000159",23.6725491522828
"E01000160",23.752172264066
"E01000161",23.7126653475129
"E01000162",23.7010207970913
"E01000163",23.78
"E01000164",23.7168031502762
"E01000165",23.7568611632735
"E01000166",23.5529389392503
"E01000167",23.5885621066526
"E01000168",23.5749046428647
"E01000169",23.5944953240337
"E01000170",23.620625043547
"E01000171",23.6119422134752
"E01000172",23.6105324065806
"E01000173",23.6599905863341
"E01000174",23.6133636195353
"E01000175",23.6451354719442
"E01000176",23.6110127712372
"E01000177",23.5829204897662
"E01000178",23.6227636721819
"E01000179",23.6034655637191
"E01000180",23.5794775427869
"E01000181",23.5524631572677
"E01000182",23.5510119600478
"E01000183",23.58
